complexity,drug_pubchem_id,exact_mass,hba,hbd,heavy_atoms,molecular_formula,mw_freebase,mw_monoisotopic,smiles,tpsa
627,3822,395.165,1,5,29,C22H22FN3O3,395.434,395.165,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,69.7
269,3821,237.092,1,2,16,C13H16ClNO,237.727,237.092,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,29.1
685,3784,371.148,1,8,27,C19H21N3O5,371.393,371.148,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,104.0
187,3779,211.121,4,4,15,C11H17NO3,211.261,211.121,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,72.7
102,3763,183.971,0,6,10,C3H2ClF5O,184.49,183.971,C(C(F)(F)F)(OC(F)F)Cl,9.2
254,3759,231.101,2,4,17,C12H13N3O2,231.255,231.101,CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2,67.2
1200,3750,586.279,1,8,43,C33H38N4O6,586.689,586.279,CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)C5(CC)O)OC(=O)N6CCC(CC6)N7CCCCC7,113.0
682,3749,428.232,1,5,32,C25H28N6O,428.54,428.232,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,87.1
164,3748,179.106,2,3,13,C9H13N3O,179.223,179.106,CC(C)NNC(=O)C1=CC=NC=C1,54.0
430,3746,332.223,1,3,24,C20H30NO3+,332.464,332.223,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C,46.5
647,3743,790.87,7,8,32,C18H24I3N3O8,791.116,790.87,CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCCO)I,180.0
714,3739,1139.512,4,6,34,C20H14I6N2O6,1139.767,1139.512,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,133.0
277,3735,570.8,2,3,17,C11H12I3NO2,570.935,570.8,CCC(CC1=C(C(=C(C=C1I)I)N)I)C(=O)O,63.3
653,3730,820.88,8,9,34,C19H26I3N3O9,821.142,820.88,CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,200.0
414,3718,281.105,1,3,21,C17H15NO3,281.311,281.105,CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,57.6
506,3715,357.077,1,4,25,C19H16ClNO4,357.79,357.077,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,68.5
580,3702,365.06,2,5,24,C16H16ClN3O3S,365.832,365.06,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,101.0
291,3696,280.194,0,2,21,C19H24N2,280.415,280.194,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,6.5
619,3693,405.19,2,7,29,C20H27N3O6,405.451,405.19,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C(CN(C2=O)C)C(=O)O,116.0
218,3690,260.025,1,4,14,C7H15Cl2N2O2P,261.083,260.025,C1CN(P(=O)(OC1)NCCCl)CCCl,41.6
353,3689,325.204,2,3,24,C21H27NO2,325.452,325.204,CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3,43.7
502,3686,338.209,1,5,24,C19H30O5,338.444,338.209,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,72.8
912,3685,497.169,5,10,36,C26H27NO9,497.5,497.169,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,177.0
228,3676,234.173,1,2,17,C14H22N2O,234.343,234.173,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,32.3
77,3675,136.1,2,2,10,C8H12N2,136.198,136.1,C1=CC=C(C=C1)CCNN,38.0
203,3672,206.131,1,2,15,C13H18O2,206.285,206.131,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,37.3
353,3661,289.168,1,4,21,C17H23NO3,289.375,289.168,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,49.8
376,3658,374.176,1,4,26,C21H27ClN2O2,374.909,374.176,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,35.9
42,3657,76.027,3,2,5,CH4N2O2,76.055,76.027,C(=O)(N)NO,75.4
494,3648,285.136,1,4,21,C17H19NO3,285.343,285.136,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,49.8
494,3639,296.964,3,7,17,C7H8ClN3O4S2,297.728,296.964,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,135.0
150,3637,160.075,2,4,12,C8H8N4,160.18,160.075,C1=CC=C2C(=C1)C=NN=C2NN,63.8
340,3623,275.152,1,4,20,C16H21NO3,275.348,275.152,CN1C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O,49.8
417,3609,420.226,8,8,30,C22H32N2O6,420.506,420.226,C1=CC(=C(C=C1C(CNCCCCCCNCC(C2=CC(=C(C=C2)O)O)O)O)O)O,145.0
428,3608,236.116,1,3,17,C12H16N2O3,236.271,236.116,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2,66.5
